name,url,Country,Region,Street,Zip,location,property_amenties,room_features,hotel_style,hotel_class,price,hotel_score_reviews,totalReview,location_score,cleanliness_score,service_score,value_score
"Radisson Blu Royal Viking Hotel, Stockholm",https://www.tripadvisor.in/Hotel_Review-g189852-d207022-Reviews-Radisson_Blu_Royal_Viking_Hotel_Stockholm-Stockholm.html,Sweden,Sweden Stockholm Norrmalm,1 Vasagatan P.O. Box 234,111 20,"1 Vasagatan P.O. Box 234, Stockholm 111 20 Sweden",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities Spa ,Air_conditioning Housekeeping Room_service Safe Minibar Refrigerator Flatscreen_TV ,Business Centrally_Located ,4,1643,4,481,4.5,4.5,4,4
Hilton San Francisco Union Square,https://www.tripadvisor.in/Hotel_Review-g60713-d81295-Reviews-Hilton_San_Francisco_Union_Square-San_Francisco_California.html,United States,United States California San Francisco Downtown San Francisco / Tenderloin / Theater District / Union Square,333 O'Farrell Street,94102-2116,"333 O'Farrell Street, San Francisco, CA 94102-2116",Valet_parking Wifi Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Car_hire Business_Center_with_Internet_Access Conference_facilities ,Air_conditioning Housekeeping Room_service Safe VIP_room_facilities Flatscreen_TV ,Green Centrally_Located ,4,3183,3.5,4483,4.5,4,4,3.5
Sofitel London Gatwick Hotel,https://www.tripadvisor.in/Hotel_Review-g187051-d243420-Reviews-Sofitel_London_Gatwick_Hotel-Crawley_West_Sussex_England.html,United Kingdom,United Kingdom England Crawley,North Terminal Gatwick Airport,RH6 0PH,"North Terminal Gatwick Airport, Crawley RH6 0PH England",Valet_parking Free_internet Fitness_Center_with_Gym_Workout_Room Bar_lounge Car_hire Business_Center_with_Internet_Access Conference_facilities Foot_massage ,Blackout_curtains Soundproof_rooms Air_conditioning Desk Housekeeping Refrigerator Cable_satellite_TV Bath_shower ,Business Centrally_Located ,2,2297,4.5,10401,5,4.5,4.5,4
Holiday Inn London Sutton,https://www.tripadvisor.in/Hotel_Review-g504182-d199118-Reviews-Holiday_Inn_London_Sutton-Sutton_Greater_London_England.html,United Kingdom,United Kingdom England Sutton,Gibson Road,SM1 2RF,"Gibson Road, Sutton SM1 2RF England",Parking Free_internet Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Conference_facilities Banquet_room Spa ,Air_conditioning Housekeeping Room_service Flatscreen_TV ,Centrally_Located ,3,1361.5,4,646,4,4,4,3.5
Radisson Blu Edwardian Vanderbilt,https://www.tripadvisor.in/Hotel_Review-g186338-d192118-Reviews-Radisson_Blu_Edwardian_Vanderbilt-London_England.html,United Kingdom,United Kingdom England London Kensington and Hyde Park / South Kensington,68-86 Cromwell Road Kensington and Chelsea,SW7 5BT,"68-86 Cromwell Road Kensington and Chelsea, London SW7 5BT England",Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Business_Center_with_Internet_Access Conference_facilities Baggage_storage Concierge 24-hour_front_desk ,Air_conditioning Housekeeping Room_service Safe Coffee_tea_maker Refrigerator Flatscreen_TV ,Classic ,4,2382,4,4945,4.5,4.5,4.5,4
Holmes Hotel London,https://www.tripadvisor.in/Hotel_Review-g186338-d193047-Reviews-Holmes_Hotel_London-London_England.html,United Kingdom,United Kingdom England London Marylebone,108 Baker Street 83 Chiltern Street,W1U 6LJ,"108 Baker Street 83 Chiltern Street, London W1U 6LJ England",Free_High_Speed_Internet_(WiFi) Fitness_Center_with_Gym_Workout_Room Bar_lounge Highchairs_available Airport_transportation Business_Center_with_Internet_Access Conference_facilities Baggage_storage ,Bathrobes Air_conditioning Additional_bathroom Desk Coffee_tea_maker Cable_satellite_TV Sofa_bed Walk-in_shower ,Classic Charming ,4,3204,4.5,137,5,5,4.5,4.5
Hotel OTTO,https://www.tripadvisor.in/Hotel_Review-g187323-d617398-Reviews-Hotel_OTTO-Berlin.html,Germany,Germany Berlin Charlottenburg / Charlottenburg-Wilmersdorf (Borough),Knesebeckstrasse 10,10623,"Knesebeckstrasse 10, 10623 Berlin Germany",Paid_private_parking_on-site Free_High_Speed_Internet_(WiFi) Breakfast_available Bicycle_rental Pets_Allowed_(_Dog_Pet_Friendly_) Taxi_service Fax_photocopying Rooftop_terrace ,Allergy-free_room Desk Housekeeping Safe Telephone Flatscreen_TV Complimentary_toiletries Hair_dryer ,Family Mid-range ,4,1236.5,4.5,1540,4.5,4.5,4.5,4.5
Bedruthan Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g528856-d279581-Reviews-Bedruthan_Hotel_Spa-Mawgan_Porth_Cornwall_England.html,United Kingdom,United Kingdom England Mawgan Porth,B3276 Trenance,TR8 4BU,"B3276 Trenance, Mawgan Porth TR8 4BU England",Free_parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Beach Tennis_court Babysitting ,Private_beach Fireplace Private_balcony Room_service Flatscreen_TV ,Bay_View Great_View ,4,2361.5,4.5,1614,5,4.5,4.5,4
Hotel du Vin Exeter,https://www.tripadvisor.in/Hotel_Review-g186254-d3246823-Reviews-Hotel_du_Vin_Exeter-Exeter_Devon_England.html,United Kingdom,United Kingdom England Exeter,Magdalen Street,EX2 4HY,"Magdalen Street, Exeter EX2 4HY England",Parking Free_High_Speed_Internet_(WiFi) Pool Fitness_Center_with_Gym_Workout_Room Bar_lounge Board_games_puzzles Pets_Allowed_(_Dog_Pet_Friendly_) Taxi_service ,Air_conditioning Housekeeping Room_service Safe Bottled_water Minibar Flatscreen_TV ,Trendy Quiet ,4,1422,4,1806,4.5,4.5,4,4
Occidental Costa Cancun,https://www.tripadvisor.in/Hotel_Review-g150807-d183427-Reviews-Occidental_Costa_Cancun-Cancun_Yucatan_Peninsula.html,Mexico,Mexico Yucatan Peninsula Quintana Roo Cancun,Boulevard Kukulcan km. 4.5 Lote D7 5 Zona Hotelera,77500,"Boulevard Kukulcan km. 4.5 Lote D7 5 Zona Hotelera, Cancun 77500 Mexico",Parking Wifi Pool Fitness_Center_with_Gym_Workout_Room Free_breakfast Beach Diving Babysitting ,Air_conditioning Private_beach Housekeeping Private_balcony Room_service Minibar Refrigerator Flatscreen_TV ,Family Bay_View ,4,2407,4,9416,4,4.5,4,4
