username,hotel_name,score
Sarah Williams,"Radisson Blu Royal Viking Hotel, Stockholm",4
Tomi Wickman,"Radisson Blu Royal Viking Hotel, Stockholm",5
Howard M,"Radisson Blu Royal Viking Hotel, Stockholm",5
Number34,"Radisson Blu Royal Viking Hotel, Stockholm",5
pawelostrowski15,"Radisson Blu Royal Viking Hotel, Stockholm",5
Carina A,Radisson Blu Waterfront Hotel,5
jarcall,Radisson Blu Waterfront Hotel,5
patricia r,Radisson Blu Waterfront Hotel,5
andrepannell,Radisson Blu Waterfront Hotel,5
Hüseyin K,Radisson Blu Waterfront Hotel,1
Sarah Williams,"Radisson Blu Royal Viking Hotel, Stockholm",4
Tomi Wickman,"Radisson Blu Royal Viking Hotel, Stockholm",5
Howard M,"Radisson Blu Royal Viking Hotel, Stockholm",5
Number34,"Radisson Blu Royal Viking Hotel, Stockholm",5
pawelostrowski15,"Radisson Blu Royal Viking Hotel, Stockholm",5
Carina A,Radisson Blu Waterfront Hotel,5
jarcall,Radisson Blu Waterfront Hotel,5
patricia r,Radisson Blu Waterfront Hotel,5
andrepannell,Radisson Blu Waterfront Hotel,5
Hüseyin K,Radisson Blu Waterfront Hotel,1
Sarah Williams,"Radisson Blu Royal Viking Hotel, Stockholm",4
Tomi Wickman,"Radisson Blu Royal Viking Hotel, Stockholm",5
Howard M,"Radisson Blu Royal Viking Hotel, Stockholm",5
Number34,"Radisson Blu Royal Viking Hotel, Stockholm",5
pawelostrowski15,"Radisson Blu Royal Viking Hotel, Stockholm",5
Carina A,Radisson Blu Waterfront Hotel,5
jarcall,Radisson Blu Waterfront Hotel,5
patricia r,Radisson Blu Waterfront Hotel,5
andrepannell,Radisson Blu Waterfront Hotel,5
Hüseyin K,Radisson Blu Waterfront Hotel,1
Sue G,Hilton Miami Airport Blue Lagoon,5
Linds Helm,Hilton Miami Airport Blue Lagoon,5
jennifer b,Hilton Miami Airport Blue Lagoon,5
m0nchm0nch,Hilton Miami Airport Blue Lagoon,3
infrequenttravell952,Hilton Miami Airport Blue Lagoon,4
Dennis E Smith,Crowne Plaza Hotel San Diego - Mission Valley,5
TravelinMama4393,Crowne Plaza Hotel San Diego - Mission Valley,4
Nader H,Crowne Plaza Hotel San Diego - Mission Valley,3
M G,Crowne Plaza Hotel San Diego - Mission Valley,2
mjesf,Crowne Plaza Hotel San Diego - Mission Valley,5
Emma C,Hilton San Francisco Union Square,5
toomuchtravel,Hilton San Francisco Union Square,5
mollie4,Hilton San Francisco Union Square,5
Kelliejane1,Hilton San Francisco Union Square,3
blueeyes2008,Hilton San Francisco Union Square,4
NevarNaum,Cavalier Oceanfront Resort,4
Ron Crandall,Cavalier Oceanfront Resort,5
F M,Cavalier Oceanfront Resort,5
Jacqueline S,Cavalier Oceanfront Resort,5
MachThree,Cavalier Oceanfront Resort,4
Steve K,Sofitel London Gatwick Hotel,5
STEPHJANT,Sofitel London Gatwick Hotel,5
paulinevera2003,Sofitel London Gatwick Hotel,4
Ian H,Sofitel London Gatwick Hotel,4
KentCouple,Sofitel London Gatwick Hotel,4
322catherine1954,Holiday Inn London Sutton,3
ian s,Holiday Inn London Sutton,4
Matthew R,Holiday Inn London Sutton,4
Jo M,Holiday Inn London Sutton,5
Robert M,Holiday Inn London Sutton,3
Sandy K,Radisson Blu Edwardian Vanderbilt,5
Paul Frost,Radisson Blu Edwardian Vanderbilt,5
LGPoodle,Radisson Blu Edwardian Vanderbilt,5
NEARLYRETIRED123,Radisson Blu Edwardian Vanderbilt,4
sophie1monther,Radisson Blu Edwardian Vanderbilt,5
Stay700782,Hilton London Kensington,5
sauditraveller,Hilton London Kensington,5
Cynthia A,Hilton London Kensington,5
